Player,Win_odds
"Scheffler, Scottie", +390
"McIlroy, Rory", +1300
"Morikawa, Collin", +2000
"Schauffele, Xander", +2500
"Fleetwood, Tommy", +2500
"Aberg, Ludvig", +2500
"Young, Cameron", +3300
"Kim, Si Woo", +3500
"Matsuyama, Hideki", +3500
"Henley, Russell", +4000
"Bhatia, Akshay", +4000
"Hovland, Viktor", +4000
"Straka, Sepp", +4500
"Gotterup, Chris", +4500
"Lee, Min Woo",+4500
"Fitzpatrick, Matt",+4500
"Knapp, Jake",+4500
"Cantlay, Patrick",+4500
"Lowry, Shane",+5000
"Fowler, Rickie",+5000
"Koepka, Brooks",+5500
"Spieth, Jordan", +5500
"MacIntyre, Robert", +5500
"Berger, Daniel", +5500
"Burns, Sam", +6000
"McNealy, Maverick", +6000
"English, Harris", +6000
"Scott, Adam",+6000
"Griffin, Ben",+6000
"Kitayama, Kurt", +6000
"Rose, Justin", +6500
"Bridgeman, Jacob",+7000
"Hall, Harry",+7000
"Noren, Alex",+8000
"Rai, Aaron",+8000
"Theegala, Sahith",+8000
"Spaun, J.J.",+8000
"Thomas, Justin",+10000
"Coody, Pierceson",+10000
"Pendrith, Taylor",+10000
"Hojgaard, Nicolai",+10000
"Thorbjornsen, Michael",+10000
"Bradley, Keegan",+10000
"Day, Jason",+10000
"Penge, Marco",+10000
"Gerard, Ryan",+10000
"Castillo, Ricky",+10000
"Conners, Corey",+10000
"Hojgaard, Rasmus",+10000
"Mitchell, Keith",+10000
"Taylor, Nick",+12500
"Greyserman, Max",+12500
"Olesen, Thorbjorn",+12500
"Clark, Wyndham",+12500
"Bezuidenhout, Christiaan",+12500
"Thompson, Davis",+12500
"Stevens, Sam",+12500
"Fox, Ryan",+12500
"Reitan, Kristoffer",+12500
"McCarty, Matt",+12500
"Finau, Tony",+12500
"Li, Haotong",+15000
"Smith, Jordan",+15000
"Echavarria, Nico",+15000
"Hisatsune, Ryo",+15000
"Smalley, Alex",+15000
"Homa, Max",+15000
"Im, Sungjae",+15000
"McGreevy, Max",+17500
"Rodgers, Patrick",+17500
"McCarthy, Denny",+17500
"Poston, J.T.",+17500
"Hughes, Mackenzie",+17500
"Harman, Brian",+17500
"Jaeger, Stephan",+17500
"Cauley, Bud",+17500
"Meissner, Mac",+17500
"Higgo, Garrick",+22500
"Hoey, Richard", +22500
"Kim, Michael",+22500
"Keefer, Johnny",+22500
"Potgieter, Aldrich",+22500
"Power, Seamus",+22500
"Roy, Kevin",+25000
"Dahmen, Joel",+25000
"Ramey, Chad", +25000
"Hoge, Tom", +25000
"Grillo, Emiliano", +25000
"Yu, Kevin",+25000
"Brennan, Michael",+25000
"Valimaki, Sami",+35000
"Moore, Taylor",+35000
"Fisk, Steven",+35000
"Mouw, William",+35000
"Whaley, Vincent",+35000
"Dou, Zecheng",+35000
"Kirk, Chris",+35000
"Cole, Eric",+35000
"Glover, Lucas",+35000
"Schmid, Matti",+35000
"Novak, Andrew",+35000
"Hodges, Lee",+50000
"Smotherman, Austin",+50000
"Woodland, Gary",+50000
"Kanaya, Takumi",+50000
"Vegas, Jhonattan",+50000
"Kim, S.H.",+50000
"Pavon, Matthieu",+75000
"Phillips, Chandler",+75000
"Ewart, A.J.",+75000
"Hubbard, Mark",+75000
"Putnam, Andrew",+100000
"Riley, Davis",+100000
"Yellamaraju, Sudarshan",+100000
"Highsmith, Joe",+100000
"Davis, Cam",+100000
"Bauchou, Zahc", +100000
"van Rooyen, Erik", +100000
"Campbell, Brian", +100000
"Schenk, Adam", +100000
"Vilips, Karl", +100000
"Walker, Danny",+100000
"Kizzire, Patton",+100000



# Extras
"Bennett, Daniel",+12500
"Horschel, Billy",+12500


